"","X","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",0,945.139,47.993,608.916,243.23,3365.05,1351.124,-214.387,-0.348000000000013,45.0119999999999,1580.252,1442.85,224.962,464.957,1048.241,290.372,725.126,1258.498
"2",0,-237.35,-166.214,-372.97,-180.75,-562.904,-495.395,-649.644,-17.485,-59.753,-52.855,-106.809,-6.172,-278.953,-259.251,-4.52099999999996,-170.43,-698.345
"3",0,-56.8910000000001,-137.502,-345.667,-143.643,-558.719,-432.382,-212.145,-8.606,-11.363,-36.374,-2.76900000000001,2.72,-208.171,-92.8129999999999,10.195,29.2460000000001,-359.906
"4",0,53.432,-55.624,-298.133,-137.576,-531.894,-388.339,-166.947,12.282,5.166,-53.705,28.7189999999999,9.12100000000001,-204.576,-5.14699999999993,12.158,59.865,-179.695
"5",0,208.531,-15.182,-280.928,-133.006,-520.258,-383.743,-301.059,26.763,-20.708,-30.923,103.884,22.515,-152.51,9.27100000000019,8.98599999999999,17.796,45.54
"6",0,218.622,-57.6669999999999,-172.237,-109.441,-443.422,-403.209,-248.092,48.651,-19.56,-45.224,94.26,18.796,-104.338,-2.16699999999992,3.30899999999997,70.347,54.0710000000004
"7",0,-3.471,-74.1899999999999,-166.189,-97.65,-447.21,-357.441,-91.8309999999999,-28.477,-133.652,-49.62,167.494,23.204,-97.885,-64.7269999999999,15.182,207.364,20.9760000000001
"8",0,112.701,-71.427,-90.943,-84.1,-420.752,-329.914,-129.355,-21.95,-15.592,-32.556,218.181,35.053,-44.881,66.9259999999999,-3.428,198.665,103.263
"9",0,243.801,-52.5070000000001,-26.093,-84.138,-313.539,-265.354,-123.027,-32.382,-22.149,-13.667,253.295,37.145,-64.1809999999999,0.3599999999999,1.22300000000001,45.1800000000001,250.253
"10",0,282.306,-32.885,-5.27200000000005,-59.667,-317.234,-259.71,-79.5930000000001,-18.175,18.15,-32.041,137.079,55.115,-156.335,-12.623,0.459000000000003,22.156,67.3289999999997
"11",0,270.67,-76.413,16.859,-93.657,-361.433,-273.997,-13.549,-21.944,-40.5160000000001,-37.909,120.761,40.051,-69.173,5.43900000000008,52.867,-51.0919999999999,130.808
"12",0,96.3520000000001,-33.934,22.547,-85.976,-304.884,-255.264,84.877,-19.833,-41.3489999999999,-19.225,90.5709999999999,23.919,-0.0380000000000109,87.268,42.386,-0.888000000000147,227.688
"13",0,161.713,-83.846,0.496999999999957,-88.987,-287.019,-245.534,-74.01,5.78700000000001,-30.662,-47.937,63.827,16.12,10.7610000000001,187.302,58.866,116.352,286.447
"14",0,105.362,-72.712,-7.2460000000001,-112.608,-257.568,-223.87,-136.105,3.96799999999999,48.39,-32.438,95.3770000000001,10.81,-3.90599999999995,184.005,39.821,-2.471,318.7
"15",0,231.699,-59.654,-0.831999999999994,-91.962,-211.884,-227.222,64.982,-14.847,-51.1660000000001,-35.493,107.38,26.632,-65.4290000000001,109.665,61.691,-45.211,392.878
